DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
,,,Plants and Heavy Metals,https://rd.springer.com/chapter/10.1007/978-94-007-4441-7_2,,,"Protect from chemicals,Protect from solids","Protect from chemicals,Protect from dirt/solids,Regulate cellular processes",
,,,"Energy & Environmental Science,Nature","https://pubs.rsc.org/en/content/articlelanding/2011/EE/c1ee01753e#!divAbstract
https://www.nature.com/articles/nature03661",,,,"Chemically generate flow of electrons (redox),Modify conductivity,Modify electron transport,Modify oxidation state",
,,,Energy & Environmental Science,https://pubs.rsc.org/en/content/articlelanding/2011/EE/c0ee00578a#!divAbstract,,,"""Capture, absorb, or filter energy""","Modify energy state,""Capture, absorb, or filter energy""",
,,,Soft Matter,https://pubs.rsc.org/en/content/articlelanding/2010/sm/b912163n#!divAbstract,,,,"Chemically assemble polymers,Modify material characteristics,Regulate cellular processes",
,,,Soft Matter,https://pubs.rsc.org/en/content/articlelanding/2009/SM/b902775k#!divAbstract,,,"Modify color,Physically assemble structure","Modify light/color,Physically assemble structure",
,,,Chemical Society Reviews,"https://pubs.rsc.org/en/content/articlelanding/2008/CS/b703021p#!divAbstract
https://pubs.acs.org/doi/10.1021/jo101237e",,,Coordinate by self-organization,Coordinate by self-organization,
,,,"Life on Earth: A Natural History,Journal of Herpetology,Nature,Zoomorphology,Molecular BioSystems","https://pubs.rsc.org/en/content/articlelanding/2007/MB/b618473c#!divAbstract
https://www.jstor.org/stable/1565146?origin=crossref&seq=1
https://www.jstor.org/stable/1565147?origin=crossref&seq=1
https://www.nature.com/articles/194699a0
https://link.springer.com/article/10.1007%2Fs00435-007-0031-7
",,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
,,,Molecular BioSystems,https://pubs.rsc.org/en/content/articlelanding/2005/mb/b505796p#!divAbstract,,,Protect from microbes,Protect from microbes,
,,,"Molecular BioSystems,Current Opinion in Plant Biology","https://pubs.rsc.org/en/content/articlelanding/2005/mb/b505796p/#!divAbstract
https://www.sciencedirect.com/science/article/pii/S1369526604000743?via%3Dihub",,,Protect from microbes,Protect from microbes,
,,,"Natural Product Reports,Phytoparasitica","https://pubs.rsc.org/en/content/articlelanding/1991/NP/np9910800309#!divAbstract
https://link.springer.com/article/10.1007/s12600-010-0087-7",,,"Protect from animals,Send chemical signals","Protect from animals,Regulate cellular processes,""Send chemical signals (odor, taste, etc.)""",
,,,"Biomacromolecules,Science","https://pubs.acs.org/doi/full/10.1021/bm049899t
https://science.sciencemag.org/content/318/5849/426",,,,Modify material characteristics,
,,,Journal of Proteome Research,https://pubs.acs.org/doi/abs/10.1021/pr101285n,,,"Protect from fungi,Protect from microbes","Protect from fungi,Protect from microbes",
,,,Biochemistry,https://pubs.acs.org/doi/abs/10.1021/bi00505a018,,,"Protect from animals,Send light signals in the visible spectrum,Modify/convert light energy","Protect from animals,Send light signals in the visible spectrum,Transform radiant energy (light)",https://www.scientificamerican.com/slideshow/bioluminescent-avatar/
,,,Accounts of Chemical Research,https://pubs.acs.org/doi/abs/10.1021/ar00072a003,,,"Catalyze chemical breakdown,Modify/convert chemical energy,Modify/convert electrical energy,Modify/convert light energy","Catalyze chemical breakdown,Transform chemical energy,Transform electrical energy,Transform radiant energy (light)",https://www.sciencedaily.com/releases/2007/03/070327144459.htm
,,,"Chemical Reviews,Carbohydrate Polymers","https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.7b00627
https://www.sciencedirect.com/science/article/abs/pii/S0144861719304527
https://drive.google.com/viewerng/viewer?url=https://www.fpl.fs.fed.us/documnts/fplgtr/fplgtr190/chapter_03.pdf",,,Manage stress/strain,"Manage compression,Manage tension",
,,,Journal of Natural Products,https://pubs.acs.org/doi/10.1021/np900630w,,,"Regulate reproduction or growth,Respond to signals","Regulate reproduction or growth,Respond to signals",
,,,ACS Nano,https://pubs.acs.org/doi/10.1021/nn200107u,,,"Manage impact,Manage wear,Manage shear","Manage impact,Manage mechanical wear,Manage shear,Manage tension",
,,,"Insects of the World,Langmuir",https://pubs.acs.org/doi/10.1021/la903813g,,,Protect from excess liquids,"Modify buoyancy,Modify surface tension,Protect from excess liquids",https://naturesraincoats.com/
,,,Langmuir,https://pubs.acs.org/doi/10.1021/la203942r,,,"Manage wear,Protect from solids","Manage mechanical wear,Protect from dirt/solids",
,,,"Courtesy of the Biomimicry Guild,Langmuir,Journal of Morphology","https://pubs.acs.org/doi/10.1021/la203853r
https://pubmed.ncbi.nlm.nih.gov/29852724/",,,Manage shear,Manage shear,
,,,"Langmuir,Revista de Microbiologia","https://pubs.acs.org/doi/10.1021/la201661y
https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37141999000100001",,,,"Modify phase,""Modify solubility (dissolving, emulsifying, precipitating, crystallizing)""",
,,,Journal of Agricultural and Food Chemistry,https://pubs.acs.org/doi/10.1021/jf200486t,,,"Protect from fungi,Protect from microbes","Protect from fungi,Protect from microbes",
,,,"Journal of the American Chemical Society,PNAS","https://pubs.acs.org/doi/10.1021/ja907063z
https://www.pnas.org/content/105/45/17362
",,,,Chemically assemble mineral crystals,"https://news.wisc.edu/dental-delight-tooth-of-sea-urchin-shows-formation-of-biominerals/
https://news.wisc.edu/sea-urchin-yields-a-key-secret-of-biomineralization/
"
,,,Journal of the American Chemical Society,https://pubs.acs.org/doi/10.1021/ja0692480,,,Sense chemicals,"""Sense chemicals (odor, taste, etc.) from the environment""",
,,,Journal of the American Chemical Society,https://pubs.acs.org/doi/10.1021/ja104996y,,,"Attach permanently,Coordinate by self-organization,Detox/purify","Attach permanently,Coordinate by self-organization,Detoxification/purification of air/water/waste",https://www.eurekalert.org/pub_releases/2010-08/nsf-ctg082510.php
,,,"Environmental Science & Technology,Environmental Microbiology","https://pubs.acs.org/doi/10.1021/es061333k
https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1462-2920.2007.01400.x",,,,"Chemically generate flow of electrons (redox),Modify oxidation state",
